screen_name,tweet_id,da,date,time,latitude,longitude,content
Deejay Tadpole,660450942719033344,2015-10-31 13:39:09,2015-10-31,13:39:09,-25.7167,27.65,"#Mood @ Tornado, North-West, South Africa https://t.co/Tp1vvxb1KR"
NWS Tornado Warnings,660450777983401984,2015-10-31 13:38:30,2015-10-31,13:38:30,30.27829282,-94.84666751,"Tornado Warning including Liberty County, TX until 8:45 AM CDT https://t.co/jSmvxz1L08"
NWS Tornado Warnings,660445347441852416,2015-10-31 13:16:55,2015-10-31,13:16:55,30.25233268,-94.93533295,"Tornado Warning including Roman Forest TX, Plum Grove TX until 8:45 AM CDT https://t.co/ilgSEWahto"
IEMBot HGX,660442010420011008,2015-10-31 13:03:40,2015-10-31,13:03:40,29.83,-95.08,"At 7:03 AM, 2 NW Highlands [Harris Co, TX] COUNTY OFFICIAL reports TORNADO #HGX https://t.co/05zFEGd9yd"
JelangPilkada/GooneR,660442007882461185,2015-10-31 13:03:39,2015-10-31,13:03:39,-7.5688,110.79856,"Jadwal UCL midweek bsk kok blm muncul yaa""@gustavaulia: Tornado dong bung doyokk  https://t.co/IProSkYodq"""
IEMBot HGX,660438235877765120,2015-10-31 12:48:40,2015-10-31,12:48:40,29.51,-95.2,"At 5:30 AM, Friendswood [Galveston Co, TX] EMERGENCY MNGR reports TORNADO #HGX https://t.co/WET5rjFsAw"
Mouton Cove Weather,660436063928758272,2015-10-31 12:40:02,2015-10-31,12:40:02,29.875016,-92.218675,TORNADO WATCH 527 IS IN EFFECT UNTIL 200 PM CDT FOR THE FOLLOWING LOCATIONS LA . LOUISIANA PARISHES ... #lawx https://t.co/Tg47eA9TO4
NWS Tornado Warnings,660433245742366720,2015-10-31 12:28:50,2015-10-31,12:28:50,30.82373223,-93.31924554,"Tornado Warning including De Ridder LA, Merryville LA, Rosepine LA until 8:00 AM CDT https://t.co/sKECAbzkpd"
Tallahassee Trends,660433223017566212,2015-10-31 12:28:45,2015-10-31,12:28:45,30.4398,-84.2806,"On Friday 30, 'Tornado Watch' was Trending Topic in Tallahassee for 1 hours: https://t.co/wMg64ycSGG #trndnl"
NWS Tornado Warnings,660429401717272578,2015-10-31 12:13:34,2015-10-31,12:13:34,29.91314938,-94.965608,"Tornado Warning including Barrett TX, Crosby TX, Mont Belvieu TX until 7:30 AM CDT https://t.co/MKYngRhJoG"
NWS Tornado Warnings,660426828666945536,2015-10-31 12:03:20,2015-10-31,12:03:20,31.09228126,-92.93353819,Tornado Warning including Lacamp LA until 7:15 AM CDT https://t.co/PsQ21vBJOv
NWS Tornado Warnings,660424836892590080,2015-10-31 11:55:25,2015-10-31,11:55:25,29.86275399,-94.98353261,"Tornado Warning including Baytown TX, Deer Park TX, Channelview TX until 7:30 AM CDT https://t.co/ujJi0I5hWd"
NWS Tornado Warnings,660424547548598272,2015-10-31 11:54:16,2015-10-31,11:54:16,31.0554728,-92.95429333,Tornado Warning including Lacamp LA until 7:15 AM CDT https://t.co/04pn887b5U
NWS Tornado Warnings,660422519288000514,2015-10-31 11:46:13,2015-10-31,11:46:13,31.01482186,-92.99951683,"Tornado Warning including Lacamp LA, Pitkin LA until 7:15 AM CDT https://t.co/jg7AeMFg2b"
NWS Tornado Warnings,660422002956591104,2015-10-31 11:44:10,2015-10-31,11:44:10,31.01482186,-92.99951683,"Tornado Warning including Lacamp LA, Pitkin LA until 7:15 AM CDT https://t.co/7cssULLkBq"
T A M  ,660421816041627648,2015-10-31 11:43:25,2015-10-31,11:43:25,-6.1232,106.83189,Tornado with you  (at @1jabodetabek)  https://t.co/UCCkCKfh2I
Cool Breeze,660418797883510784,2015-10-31 11:31:26,2015-10-31,11:31:26,30.2672,-97.7639,"Tornado near Austin yesterday takes out one of our transmission towers!! @ Austin, Texas https://t.co/TsIHXMWvug"
NWS Tornado Warnings,660418183640121345,2015-10-31 11:28:59,2015-10-31,11:28:59,29.92245142,-94.86858796,"Tornado Warning including Mont Belvieu TX, Old River-Winfree TX until 6:45 AM CDT https://t.co/44tPagnWoe"
Freddy Mercury,660415854857842688,2015-10-31 11:19:44,2015-10-31,11:19:44,29.7686,-94.6791,"It's only a tornado warning.
#Texas @ Anahuac, Texas https://t.co/geREDikuCh"
NWS Tornado Warnings,660414897449099264,2015-10-31 11:15:56,2015-10-31,11:15:56,29.88453902,-94.902788,"Tornado Warning including Baytown TX, Mont Belvieu TX, Old River-Winfree TX until 6:45 AM CDT https://t.co/796tej8pg8"
ynnmedia - ynn.io,660413720938459140,2015-10-31 11:11:15,2015-10-31,11:11:15,36.20771502,-115.11680603,"Top link: Texas buffeted by rain, storms and suspected tornado near San Antonio - The Guardian https://t.co/cOWpCcbg8D"
NWS Tornado Warnings,660411291350122496,2015-10-31 11:01:36,2015-10-31,11:01:36,29.82830211,-95.00186289,"Tornado Warning including Baytown TX, La Porte TX, Deer Park TX until 6:15 AM CDT https://t.co/qmJhErLdZF"
NWS Tornado Warnings,660404849750577153,2015-10-31 10:36:00,2015-10-31,10:36:00,29.63974455,-95.14523081,"Tornado Warning including Pasadena TX, La Porte TX, Deer Park TX until 6:00 AM CDT https://t.co/5XDhPIrleV"
IEMBot HGX,660404765336014848,2015-10-31 10:35:40,2015-10-31,10:35:40,29.17,-95.43,"At 4:17 AM, Angleton [Brazoria Co, TX] PUBLIC reports TORNADO #HGX https://t.co/VZXkwSOD9p"
NWS Tornado Warnings,660404454559080448,2015-10-31 10:34:26,2015-10-31,10:34:26,30.37540801,-94.12553017,"Tornado Warning including Lumberton TX, Silsbee TX, Buna TX until 6:00 AM CDT https://t.co/YWIqCgMc78"
NWS Tornado Warnings,660403434227548160,2015-10-31 10:30:23,2015-10-31,10:30:23,29.8112884,-95.01859216,"Tornado Warning including Pasadena TX, Baytown TX, La Porte TX until 6:15 AM CDT https://t.co/9GgZ5rOKzb"
NWS Tornado Warnings,660402945511419904,2015-10-31 10:28:26,2015-10-31,10:28:26,30.37540801,-94.12553017,"Tornado Warning including Lumberton TX, Silsbee TX, Buna TX until 6:00 AM CDT https://t.co/6NsyXoCaZt"
NWS Tornado Warnings,660400413309468672,2015-10-31 10:18:22,2015-10-31,10:18:22,29.50993969,-95.28787458,"Tornado Warning including Pearland TX, Brookside Village TX until 5:45 AM CDT https://t.co/mU6E11iwOO"
NWS Tornado Warnings,660397904364900352,2015-10-31 10:08:24,2015-10-31,10:08:24,29.589492,-95.13900007,"Tornado Warning including Pasadena TX, La Porte TX, Deer Park TX until 5:30 AM CDT https://t.co/kfQns9GTaR"
NWS Tornado Warnings,660395922904346624,2015-10-31 10:00:32,2015-10-31,10:00:32,29.39128211,-95.27820449,"Tornado Warning including Alvin TX, Hillcrest TX, Liverpool TX until 5:15 AM CDT https://t.co/nDn6Mf3y85"
IEMBot HGX,660394674725765120,2015-10-31 09:55:34,2015-10-31,09:55:34,29.23,-95.35,"At 4:27 AM, Danbury [Brazoria Co, TX] LAW ENFORCEMENT reports TORNADO #HGX https://t.co/Ori1pcvoLs"
NWS Tornado Warnings,660392229819691008,2015-10-31 09:45:51,2015-10-31,09:45:51,29.34315751,-95.31842143,"Tornado Warning including Alvin TX, Danbury TX, Holiday Lakes TX until 5:15 AM CDT https://t.co/NSUr8OIztM"
Tallahassee Trends,660391670874161152,2015-10-31 09:43:38,2015-10-31,09:43:38,30.4398,-84.2806,Did you know that 'Tornado Watch' was Trending Topic on Friday 30 for 1 hours in Tallahassee? https://t.co/wMg64ycSGG #trndnl
NWS Tornado Warnings,660384422017929216,2015-10-31 09:14:50,2015-10-31,09:14:50,29.23239915,-95.37116556,"Tornado Warning including Angleton TX, Richwood TX, Danbury TX until 4:45 AM CDT https://t.co/hB9vQ8VVBp"
Aldi Fandi Yusuf,660381621074268160,2015-10-31 09:03:42,2015-10-31,09:03:42,-6.12259969,106.83332716,Rencana sih mau foto diatas tornado. Apalah daya gak boleh dan gak berani juga. Jadi fotonya di https://t.co/cPcemqvcD1
NWS Tornado Warnings,660372519384289280,2015-10-31 08:27:32,2015-10-31,08:27:32,29.04105942,-95.41297871,"Tornado Warning including Lake Jackson TX, Angleton TX, Freeport TX until 4:15 AM CDT https://t.co/xUcw78zDYP"
NWS Tornado Warnings,660367372163792896,2015-10-31 08:07:05,2015-10-31,08:07:05,28.92441197,-95.50181637,"Tornado Warning including Lake Jackson TX, Freeport TX, Brazoria TX until 3:30 AM CDT https://t.co/3Tz0JSpP1M"
GeralynK,660366656439386112,2015-10-31 08:04:14,2015-10-31,08:04:14,29.04504505,-95.42412481,"Great! RT @abc13weather Tornado Warning for Brazoria, Fort Bend, Galveston and Harris County until 3:45am. https://t.co/3cZgRPLWiP"
NWS Tornado Warnings,660366035715928065,2015-10-31 08:01:46,2015-10-31,08:01:46,29.59999975,-95.31444538,"Tornado Warning including Pasadena TX, Pearland TX, South Houston TX until 3:45 AM CDT https://t.co/L92TeAS7Zy"
abdlaziz,660365019318632448,2015-10-31 07:57:44,2015-10-31,07:57:44,-6.12253,106.83322,(at Dufan wanaha Tornado)  https://t.co/LSyovG3BWj
NWS San Antonio,660320863649005568,2015-10-31 05:02:16,2015-10-31,05:02:16,30.40331391,-98.72327258,Tornado Warning including Willow City TX until 12:15 AM CDT https://t.co/k9UedoO03e
NWS Tornado Warnings,660320855310757888,2015-10-31 05:02:14,2015-10-31,05:02:14,30.40331391,-98.72327258,Tornado Warning including Willow City TX until 12:15 AM CDT https://t.co/LmR1ewEswT
NWS San Antonio,660319051038650368,2015-10-31 04:55:04,2015-10-31,04:55:04,30.38862308,-98.73255918,Tornado Warning including Willow City TX until 12:15 AM CDT https://t.co/ybeI4L24GC
NWS Tornado Warnings,660319042922614784,2015-10-31 04:55:02,2015-10-31,04:55:02,30.38862308,-98.73255918,Tornado Warning including Willow City TX until 12:15 AM CDT https://t.co/IpHDVzajiV
Bimbi Setia,660318474850295808,2015-10-31 04:52:47,2015-10-31,04:52:47,-6.12264,106.83351,"With SitiHamidah, Andyka , and Amelia at Dufan wanaha Tornado  https://t.co/zhoqVWTFCB"
RF,660316714316357632,2015-10-31 04:45:47,2015-10-31,04:45:47,-6.12212,106.8351,Antriiiii dulu sebelum teriakkkkkk :D (with Dwi and ayu at Tornado )  https://t.co/92G1sV6pR4
